sample-id	Location_code	Extraction_code	Sample_type
SAf_eDNA_BK17-EC_S3	BK17	BK17-EC	Blank
SAf_eDNA_BK18-EC_S1	BK18	BK18-EC	Blank
SAf_eDNA_BK18-EC_S2	BK18	BK18-EC	Blank
SAf_eDNA_BK18-EC_S3	BK18	BK18-EC	Blank
SAf_eDNA_BK27-EC_S1	BK27	BK27-EC	Blank
SAf_eDNA_BK27-EC_S2	BK27	BK27-EC	Blank
SAf_eDNA_BK27-EC_S3	BK27	BK27-EC	Blank
SAf_eDNA_BK9-EC_S1	BK9	BK9-EC	Blank
SAf_eDNA_BK9-EC_S2	BK9	BK9-EC	Blank
SAf_eDNA_BK9-EC_S3	BK9	BK9-EC	Blank
SAf_eDNA_ddH2O_S1	NA	NA	NTC
SAf_eDNA_ddH2O_S2	NA	NA	NTC
SAf_eDNA_ddH2O_S3	NA	NA	NTC
SAf_eDNA_ddH2O_S4	NA	NA	NTC
SAf_eDNA_ddH2O_S5	NA	NA	NTC
SAf_eDNA_ddH2O_S6	NA	NA	NTC
SAf_eDNA_Mock_S1	Mock_S1	Mock_S1	Mock
SAf_eDNA_Mock_S2	Mock_S2	Mock_S2	Mock
